question,answer,source_url
1. What is the difference between Orientation and CSI welcome events?,"Orientation is hosted by the college, while CSI welcome events are hosted by Conestoga Students Inc. (CSI), the official student association for Conestoga College. Orientation is the main event for first-year students. It includes a series of free activities, both mandatory and optional, including information webinars, in-person Campus Welcome Day, and a mandatory Program Orientation Session. Orientation is your opportunity to explore campus resources and services, gain essential tips for academic success, and connect with the Conestoga community. You'll learn what you need to know about college life and lay the foundation for a successful journey at Conestoga. CSI welcome events focus on building community and helping new students feel at home through fun, social activities. Some events may have a fee. For details, see the CSI Events Calendar on the CSI website.",https://orientation.conestogac.on.ca/questions/faq
2. Which orientation events are mandatory and which should I register for?,"Your Program Orientation Session is mandatory. Sessions may be offered virtually or in person, and some require advance registration. The in-person Campus Welcome Day activities are optional, but we encourage you to RSVP and attend. For details on both, visit Orientation week .",https://orientation.conestogac.on.ca/questions/faq
3. What if I can't attend my mandatory Program Orientation Session? Will the session be recorded?,"If your Program Orientation Session is virtual, the session will be recorded. Your instructor will post the recorded video to eConestoga before the third week of class.",https://orientation.conestogac.on.ca/questions/faq
4. I will not have my visa in time to attend orientation activities. What should I do?,Please email International Admissions at internationaladmissions@conestogac.on.ca for further assistance.,https://orientation.conestogac.on.ca/questions/faq
5. What is the purpose of my ONE Card? Do I need to pick it up during orientation?,"Your ONE Card has many functions. It is your student ID and also gives you access to discounts at off-campus food vendors, transit (applicable for eligible students), library resources, printing, the Recreation Centre, and more. Learn all about the functions of the ONE Card . You can pick up your ONE Card at a ONE Card location .",https://orientation.conestogac.on.ca/questions/faq
"6. Will I meet my professors on campus, or will my program host an in-person meet and greet?","You may get to meet some of your professors in your Program Orientation Session. Some programs are also hosting an in-person meet and greet on campus. If your program offers in-person activity, details will be sent directly to both your personal and Conestoga email accounts.",https://orientation.conestogac.on.ca/questions/faq
7. Is there complimentary parking during orientation?,"Complimentary parking is provided to students January 5–9. For instructions on how to redeem complimentary parking, visit directions and parking .",https://orientation.conestogac.on.ca/questions/faq
8. Where can I find a campus map?,"Visit directions and parking for campus maps. We encourage you to look at the map or take a virtual tour before arriving, to better orient yourself while on campus.",https://orientation.conestogac.on.ca/questions/faq
9. I don't understand the room numbers and where my classes are located.,"Kitchener – Doon and Waterloo room example 2E05 2 - The first digit is the floor number. E - The letter is the floor wing. 05 - The last two digits are the room number. Guelph room example D18 D - The letter is the floor wing. 18 - The last two digits are the room number. Cambridge – Fountain Street room example A1326 A - The letter is the building. 1 - The first number is the floor level. 326 - The last three digits are the room number. Brantford room example 013 or 145 If there is a 0 in front of the number that means the room is on the lower level If the code starts with a 1, the room is on floor one. If the code starts with a 2, the room is on floor two and so on.",https://orientation.conestogac.on.ca/questions/faq
10. Are orientation dates and times final?,Check back regularly for any updates to your Program Orientation Session and other workshop and event date/times.,https://orientation.conestogac.on.ca/questions/faq
11. Do any orientation events cost money?,"Orientation events are free. CSI welcome events, hosted by Conestoga Students Inc., are mostly free. Some may include a fee.",https://orientation.conestogac.on.ca/questions/faq
12. What should I bring to orientation?,"Yourself! You don't need to bring anything, but we suggest wearing comfortable shoes for exploring the campus. Visit directions and parking for campus maps. We also encourage you to take a virtual tour before arriving, to better orient yourself while on campus.",https://orientation.conestogac.on.ca/questions/faq
13. When should I start using my Conestoga College email account and what does it give me access to?,"Once you confirm your offer, our IT department will provide you with your Conestoga ID and password . Use these credentials to log in to Office 365 and access your Conestoga email inbox. Be sure to check both your personal and Conestoga email accounts for ongoing communications. Your Conestoga email grants you access to essential information and resources, including personalized orientation details on the orientation site and exclusive job and event postings on the Student Success Portal. Additionally, you can view your personal booklist and course materials via the Conestoga Campus Store where you can sign in with your Conestoga email to request pick-up or free shipping to your home.",https://orientation.conestogac.on.ca/questions/faq
14. My password and/or user name is not working when I log in to my student account.,"Visit the IT website for information about accessing your account . Or, reach out to IT Services for help: Email: ITSDesk@conestogac.on.ca Phone: 519-748-5220, ext. 3444 Toll-free: 1-866-636-4718",https://orientation.conestogac.on.ca/questions/faq
15. I am having trouble accessing my timetable.,"To receive your timetable, you must get fully registered . Once these items are complete, please allow 24 hours for your account to be updated in the Student Portal . If you've completed this step and need help accessing your timetable, please email StudentRecords@conestogac.on.ca . If you are a first-term international student and need help accessing your timetable, please email internationaladmissions@conestogac.on.ca .",https://orientation.conestogac.on.ca/questions/faq
16. How do I access the Wi-Fi while on campus?,Visit IT Services for instructions on connecting to the Wi-Fi .,https://orientation.conestogac.on.ca/questions/faq
17. How do I get in touch with my program coordinator for questions related to my program?,Please refer to your program's academic handbook for contact information.,https://orientation.conestogac.on.ca/questions/faq
