question,answer,source_url
Who do I contact if I have an emergency or safety concern?,"If you feel unsafe or require immediate attention, contact Safety and Security for support on campus. If you are off campus, contact emergency services by calling 911.",https://www.conestogac.on.ca/student-rights/faq
Where do I find information on mental health and wellness supports?,"Conestoga offers counselling , peer support and medical care to assist students with mental health and wellness. For after-hours mental health support, please contact Good2Talk - a free 24-hour service for Ontario post-secondary students. If you are in crisis on campus , contact Safety and Security for support. If you are in crisis off campus , contact emergency services by calling 911.",https://www.conestogac.on.ca/student-rights/faq
Where do I find information on sexual and gender-based violence supports?,"If you have experienced or witnessed sexual or gender-based violence and would like to discuss supports available both on and off campus, please contact the Sexual and Gender-Based Violence Coordinator . They can answer questions regarding sexual assault and sexual violence policies and procedures , including your reporting options.",https://www.conestogac.on.ca/student-rights/faq
Who can report a student rights and responsibilities violation?,"College students, employees and members of the public may submit reports on behalf of themselves or someone else.",https://www.conestogac.on.ca/student-rights/faq
How and when do I report a student rights and responsibilities violation?,"If a concern continues, escalates, or informal resolution is not appropriate, you may decide to make a report to the SRRO. You can make a verbal report by contacting us or use the Report form to report an incident in& writing. We will respond within two business days to arrange a time to discuss the incident and gather more information.",https://www.conestogac.on.ca/student-rights/faq
I have been reported for a student rights and responsibilities violation. What happens next?,"If you have received notice from the SRRO or Safety and Security of a report regarding your conduct, it is important to understand how the process works. Refer to the information on formal resolution and the Student Rights and Responsibilities Procedure (pdf). Contact us with any questions.",https://www.conestogac.on.ca/student-rights/faq
Who do I contact if I have academic concerns?,"Each program area has a Student Success Advisor (SSA) who is available to help you address academic issues and connect you to services. Sign in to the Student Success Portal to book an appointment . For details on individual services and other important academic contacts, refer to your academic handbook found under the More info tab on your full-time program page.",https://www.conestogac.on.ca/student-rights/faq
"How do I dispute a grade, academic decision or academic integrity penalty?",See Academic appeals for information Learn how to avoid and understand future academic warnings and offences through the Academic Integrity website .,https://www.conestogac.on.ca/student-rights/faq
How do I challenge a decision or sanction assessed under the Student Rights and Responsibilities policy?,"The challenge process is outlined on page six of the Student Rights and Responsibilities Procedure (pdf) . If you disagree with a decision or sanction assessed under the Student Rights and Responsibilities Policy that does not affect your academic status at the college, email srr@conestogac.on.ca and outline your grounds for appeal. The challenge will be reviewed by the Director of Student Rights and Responsibilities. Appropriate grounds for submitting a challenge are personal bias/unfair treatment or new information/extenuating circumstances. Students must attach all relevant documents to support their request when emailing. If you disagree with a decision or sanction assessed under the Student Rights and Responsibilities Policy that does affect your academic status at the college, submit a formal appeal form as outlined in step four of the Academic Appeal Procedure . For information on how to submit your appeal, please see Academic appeals .",https://www.conestogac.on.ca/student-rights/faq
Are my conversations with the SRRO confidential?,"It is important to understand that expectations for confidentiality depend on why you are engaging with our office. Concerns If you reach out to our office with a concern, your conversation with the SRRO is confidential unless we have reason to believe that you are at risk of harming yourself or someone else, or if you disclose that another person is at similar risk. Excluding situations of imminent risk or harm, we will not advance your concerns without your permission. Violations If we reach out to you because your conduct was reported to our office, we may disclose status reports, outcomes, and other relevant information to involved parties such as the violation reporter and any impacted areas of the college.",https://www.conestogac.on.ca/student-rights/faq
How does the SRRO protect my privacy and confidentiality?,"All records are filed in a secure electronic database. Managing these records is the responsibility of the SRRO under the direction of the Associate Vice-President, Student Affairs. Access to these records is restricted to appropriate college staff as per the requirements and principles in the Freedom of Information and Protection of Privacy Act (FIPPA). Exceptions are records under statutes that expressly state that they prevail over FIPPA.",https://www.conestogac.on.ca/student-rights/faq
Can I report concerns anonymously?,"We accept anonymous reports, but anonymity can limit our ability to review or address your concerns. If you do not want to disclose your identity, we will not be able to report back to you about the status or outcome of your concerns. To submit an anonymous report, you can contact us from an unknown phone number or email address without disclosing your name. We will be launching a new reporting system soon which will accept anonymous report submissions directly into our database. If you would like your concerns or identity to remain anonymous after contacting our office, please let us know to discuss options with you.",https://www.conestogac.on.ca/student-rights/faq
Will student rights and responsibilities violations be visible on my permanent academic record?,SRRO decisions and sanctions do not form part of a student's academic record except in cases of long-term suspension or discontinuance from the college.,https://www.conestogac.on.ca/student-rights/faq
