question,answer,source_url
"Who is eligible for OSAP?","Full-time students may be eligible for OSAP if they meet specific criteria. Visit the Student Financial Services website for full details.","Winter_2024_Registrar_FAQ.pdf"
"Can I apply for OSAP as a part-time student?","Yes. Part-time students may also be eligible if they meet OSAP criteria. More information is available on the Student Financial Services website.","Winter_2024_Registrar_FAQ.pdf"
"How do I apply for OSAP?","You must apply online. The OSAP application is typically released mid-Spring for the next academic year.","Winter_2024_Registrar_FAQ.pdf"
"After I complete my OSAP application, what do I do next?","Check the OSAP portal for required documents and upload them promptly. Monitor your OSAP account for updates while your application is being processed.","Winter_2024_Registrar_FAQ.pdf"
"How do I complete the Master Student Financial Assistance Agreement (MSFAA)?","After applying for OSAP, you will receive an email from NSLSC with your MSFAA number. Register on the NSLSC website and complete the MSFAA. You only complete it the first time you apply.","Winter_2024_Registrar_FAQ.pdf"
"When is the OSAP application due?","You must apply no later than 60 days before your study period ends. All supporting documents must be submitted 40 days before the end of the study period.","Winter_2024_Registrar_FAQ.pdf"
"Do I need to reapply for OSAP each year?","Yes. A new OSAP application must be completed each academic year you require assistance.","Winter_2024_Registrar_FAQ.pdf"
"How long does OSAP take to process? How do I check my status?","Processing can take 6–8 weeks. Apply early. Check your status on your OSAP account using the 'check status' link.","Winter_2024_Registrar_FAQ.pdf"
"Do I need to pay the tuition deposit if I am applying for OSAP?","Yes. A non-refundable deposit is required each academic year to secure your seat.","Winter_2024_Registrar_FAQ.pdf"
"Will my tuition fees be deferred if I am approved for OSAP?","Yes, if OSAP will cover your tuition and you: (1) paid your deposit, (2) have an approved ONE Card photo, (3) completed your OSAP application and received an assessment.","Winter_2024_Registrar_FAQ.pdf"
"How do I apply for awards?","Over 400 awards are available. Students must apply each term through the Student Portal. The application opens in week 3 and remains open for 3 weeks.","Winter_2024_Registrar_FAQ.pdf"
"Who can receive information about my student account?","Due to privacy policies, the college cannot share personal academic or financial information without written permission. Students may submit a Consent Form to authorize someone.","Winter_2024_Registrar_FAQ.pdf"
"I cannot access Student Portal forms—how do I log in?","Follow the IT Support resources on the Conestoga website. If issues persist, contact the IT Service Desk at ITSDesk@conestogac.on.ca.","Winter_2024_Registrar_FAQ.pdf"
"How can I review my payment or receive a receipt?","Your payment history and receipts are available in the Financial tab of the Student Portal. Payments may take 3–5 business days to appear.","Winter_2024_Registrar_FAQ.pdf"
"How do I make a payment?","Payments can be made by:
1) Student Portal (credit card)  
2) Web banking (add Conestoga College as payee)  
3) Flywire/Convera for international funds.","Winter_2024_Registrar_FAQ.pdf"
"Can I have an extension or installment plan for my payment due?","Extensions are NOT offered. The Payment Schedule is only available until one week before classes begin.","Winter_2024_Registrar_FAQ.pdf"
"How much do I owe for Winter 2024?","Check the Financial tab of the Student Portal. Remaining balance = Total Due – future billing.","Winter_2024_Registrar_FAQ.pdf"
"How do I request a refund?","Refunds can be requested through the Student Portal via Services > My Forms > Request Refund. Processing may take up to 10 weeks.","Winter_2024_Registrar_FAQ.pdf"
"Why can I not see my timetable?","Ensure you have: (1) paid your fees, (2) uploaded your ONE Card photo, (3) international students: uploaded required documents in the International Portal.","Winter_2024_Registrar_FAQ.pdf"
"I can't see my timetable — what do I do?","Make sure you:  
1. Paid your fees  
2. Uploaded ONE Card photo  
3. Submitted international documents  
4. Selected the correct session/week in Calendar tab  
Allow browser pop-ups for the timetable.","Winter_2024_Registrar_FAQ.pdf"
"How do I add an elective?","Use the Student Portal > My Courses > Add Course/Choose Elective.","Winter_2024_Registrar_FAQ.pdf"
"How do I change my block or add/drop a course?","If you cannot change it through My Courses, submit a Course Change Request form under Services > My Forms.","Winter_2024_Registrar_FAQ.pdf"
"How do I pay for a held enrolment course?","Go to Student Portal > Financial tab > Payment for Held Courses. Payment must be made within 72 hours.","Winter_2024_Registrar_FAQ.pdf"
"How do I withdraw from my program?","Submit the Withdrawal Form in Student Portal > Services > My Forms. Review refund policies online.","Winter_2024_Registrar_FAQ.pdf"
"How do I view my timetable?","Go to Student Portal > Calendar > Select Winter 2024 session > Select the week classes begin. Ensure pop-ups are enabled.","Winter_2024_Registrar_FAQ.pdf"
